age,count,percentage
18,213523,0.015175397
19,224489,0.015954767
20,222532,0.01581568
21,221651,0.015753066
22,216297,0.01537255
23,216448,0.015383281
24,217657,0.015469207
25,224513,0.015956473
26,224987,0.015990161
27,227651,0.016179495
28,230336,0.016370322
29,231478,0.016451486
30,224067,0.015924775
31,221567,0.015747096
32,221012,0.015707652
33,220272,0.015655059
34,215185,0.015293518
35,211608,0.015039295
36,205694,0.014618979
37,206135,0.014650321
38,209787,0.014909874
39,212604,0.015110083
40,205400,0.014598084
41,205351,0.014594601
42,202233,0.014373
43,203832,0.014486644
44,205192,0.014583301
45,214175,0.015221736
46,221397,0.015735014
47,239141,0.016996107
48,250414,0.017797296
49,260941,0.018545465
50,266187,0.018918306
51,254922,0.018117686
52,251934,0.017905324
53,252798,0.01796673
54,255985,0.018193235
55,259958,0.018475602
56,255085,0.018129271
57,249709,0.01774719
58,246676,0.01753163
59,239164,0.016997741
60,236163,0.016784456
61,228921,0.016269756
62,223075,0.015854272
63,218121,0.015502184
64,211518,0.015032899
65,207231,0.014728216
66,202623,0.014400718
67,201498,0.014320763
68,192697,0.013695263
69,191999,0.013645655
70,192332,0.013669321
71,195686,0.013907695
72,202910,0.014421116
73,206012,0.014641579
74,144279,0.010254123
75,147609,0.010490791
76,136821,0.009724072
77,123046,0.008745062
78,113620,0.008075142
79,112104,0.007967398
80,103556,0.007359879
81,96472,0.006856409
82,85299,0.006062327
83,79209,0.005629501
84,71520,0.005083033
85,64712,0.004599178
86,57004,0.004051359
87,51687,0.003673472
88,44320,0.003149888
89,38478,0.002734689
90,30638,0.002177488
91,25338,0.001800809
92,19731,0.001402312
93,15653,0.001112482
94,11758,0.000835659
95,8855,0.000629338
96,6362,0.000452157
97,4374,0.000310867
98,2833,0.000201346
99,1891,0.000134396
100,1074,7.63308E-05
101,590,4.19322E-05
102,357,2.53725E-05
103,185,1.31482E-05
104,90,6.39643E-06
105,102,7.24929E-06
